ROBBIE WILLIAMS;;;;;
SAAT;PAZARTESI;SALI;CARSAMBA;PERSEMBE;CUMA
08.00 - 09.00;free;ders;lab;doktora ders;lab
09.00 - 10.00;free;ders;lab;doktora ders;lab
10.00 - 11.00;ders;ofis saati;free;doktora ders;lab
11.00 - 12.00;ders;ofis saati;free;free;lab
12.00 - 13.00;lab;free;ofis saati;free;free
13.00 - 14.00;lab;ofis saati;ofis saati;ders;free
14.00 - 15.00;free;ofis saati;ofis saati;ders;free
15.00 - 16.00;free;free;ofis saati;ofis saati;free
16.00 - 17.00;free;free;free;ofis saati;doktora ders
17.00 - 18.00;free;free;free;doktora ders;doktora ders
18.00 - 19.00;free;free;free;doktora ders;doktora ders
lab;8;;;;
ders yard;6;;;;
diger;18;;;;
